statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,is_bot
3792,23,8,2,1,False,False,False,0.34287981722319544,0.0020797035327356265,0.0007233751418210874,0.00018084378545527184,9.042189272763592e-05,2.875,11,0,27,0,80,0.0013530217085647247,1
407226,322,8,34,21,False,True,False,9.232839813233097,0.007300551585264834,0.0001813801636090642,0.0007708656953385228,0.0004761229294737935,40.25,13,0,14,0,160,0.0032480884019058516,1
15668,171,86,1933,32,True,True,False,0.4069484781703491,0.004441421353531382,0.00223369728891052,0.050206242551907386,0.0008311431772690306,1.9883720930232558,13,0,13,0,156,0.00144145793276647,1
5087,3374,9,15,146,True,True,False,0.166329285810573,0.11031944374383197,0.00029427237513173914,0.0004904539585528986,0.004773751863248212,374.8888888888889,9,0,9,0,135,0.002678886842034462,1
2813,7,2,1,4,False,False,False,0.13302788990637684,0.000331032786827102,9.458079623631486e-05,4.729039811815743e-05,0.00018916159247262971,3.5,13,0,13,0,52,0.0027852556398376225,1
17685,3968,15,0,110,False,False,False,0.6779778408396063,0.15211852261529873,0.0005750448183542039,0.0,0.004216995334597495,264.53333333333336,9,0,14,0,150,0.00023878451577553247,1
3046,277,25,5,6,False,False,False,0.3326860594784035,0.030254116374103013,0.002730515918240344,0.0005461031836480688,0.0006553238203776826,11.08,15,0,21,0,79,0.0010305055470577946,1
1961,55,1,0,10,True,True,False,0.25656953348363976,0.007195983855991936,0.0001308360701089443,0.0,0.001308360701089443,55.0,14,0,14,0,92,0.0012996305658966266,1
9166,177,0,52,36,True,True,False,0.33145625712783233,0.006400584498322749,0.0,0.0018803977057219377,0.0013018137962690338,177.0,15,0,16,0,64,0.0026246700641041312,1
10279,106,1,229,20,True,True,False,0.3105196238493679,0.003202167538479716,3.0209127721506753e-05,0.006917890248225046,0.000604182554430135,106.0,13,0,14,0,154,0.0036612958709497257,1
1246,15,1,0,14,True,True,False,0.03842559206109587,0.0004625873843631124,3.083915895754083e-05,0.0,0.00043174822540557157,15.0,10,0,11,0,96,0.0012558723064822622,1
1951,13,7,7,2,False,False,False,0.3318461144201018,0.0022111734943420416,0.0011906318815687916,0.0011906318815687916,0.00034018053759108334,1.8571428571428572,10,0,6,0,140,0.0017757901347876788,1
23227,101,81,20,4,False,True,False,0.7542670193216089,0.003279845393356116,0.002630371058038073,0.0006494743353180427,0.00012989486706360855,1.2469135802469136,14,0,13,0,154,0.0027642031746031525,1
