statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,is_bot
3477,218,285,2305,0,True,True,False,0.09294445742228752,0.005827406303726971,0.007618398149367829,0.061615465734360865,0.0,0.7649122807017544,8,0,9,0,0,0.0033486959456693562,1
5614,256,358,7561,0,True,True,False,0.22577457943614113,0.010295385168445338,0.014397452696497776,0.30407580960396563,0.0,0.7150837988826816,15,0,39,1,157,0.0014244524816549755,1
5545,287,346,6443,3,True,True,False,0.36781156137758236,0.019037316161472702,0.022950910773064652,0.42737779800825304,0.0001989963361826415,0.8294797687861272,10,2,13,8,18,0.0015951243135066116,0
6022,266,354,1202,0,True,True,False,0.18640521693853798,0.008233774112529244,0.01095772945802764,0.037206753696466734,0.0,0.751412429378531,9,0,5,0,0,0.003142084920992094,1
3915,286,564,2511,0,True,True,False,0.19492666765821928,0.014239853627139391,0.028081389670302853,0.1250219316704441,0.0,0.5070921985815603,11,1,11,0,29,0.0006600738677295524,1
2175,26,48,15244,0,True,True,False,0.2082582841049405,0.0024895243157372197,0.00459604489059179,1.459627256503776,0.0,0.5416666666666666,11,0,6,0,0,0.0024735942569470972,0
496,15,24,52,0,True,True,False,5.032963997508322,0.152206572505292,0.2435305160084672,0.527649451351679,0.0,0.625,10,9,2,1,0,9.770273324990581e-05,1
1469,19,52,37,0,True,True,False,2.0150784136954,0.02606296110293574,0.07133020933435044,0.050754187410980124,0.0,0.36538461538461536,15,2,25,2,0,0.0010908540448845048,0
8554,604,134,8727,32,True,True,False,0.26240855561100374,0.01852873130571034,0.004110678799611234,0.2677156260015466,0.0009816546387131306,4.507462686567164,11,0,12,0,41,0.0011319386607642659,1
35242,286,527,46531,11,False,True,False,0.5830654280955069,0.004731760752378269,0.00871901369406765,0.769837620870326,0.00018199079816839497,0.5426944971537002,10,2,21,0,19,0.0018296749775785323,0
9495,229,159,19618,2,True,True,False,0.4584652014289436,0.011057243931250982,0.00767730037147994,0.9472533250798331,9.656981599345837e-05,1.440251572327044,15,0,6,0,42,0.002272802747561077,0
12680,908,685,22759,1,True,True,False,1.2714121169518664,0.09104433771232608,0.0686843296618319,2.282024319377565,0.00010026909439683488,1.3255474452554745,9,6,5,0,157,0.00047662898363331764,0
16895,314,642,13648,1,True,True,False,0.565555510302684,0.01051106423409546,0.021490774644233393,0.45686307218769057,3.3474726860176626e-05,0.48909657320872274,12,2,12,2,0,0.0013744766256574598,1
53970,856,2713,1828,213,True,True,False,1.0618968660460761,0.01684238868511101,0.053380140774189455,0.035967157145307155,0.004190921483561502,0.3155178768890527,10,0,15,0,144,0.0017010791661300343,0
4383,543,2247,4001,1,False,False,False,0.238718429337186,0.02957428864478485,0.12238200107703787,0.21791294450788987,5.446461997197947e-05,0.2416555407209613,14,0,20,0,137,0.003085939129594757,0
15138,349,242,15315,4,True,True,False,0.6634006932737372,0.015294414186321461,0.010605295796818893,0.6711574592077741,0.00017529414540196517,1.4421487603305785,9,0,8,0,92,0.0010111216157695532,0
4801,148,76,2190,0,True,True,False,0.12407301212491442,0.003824787709745331,0.0019640801752746294,0.05659652084015051,0.0,1.9473684210526316,11,0,11,0,0,0.002140971086703958,1
5296,6037,5330,4656,1,True,True,False,0.6306375828126121,0.7188744500452678,0.634686237989279,0.5544276030165259,0.00011907809343138444,1.1326454033771107,14,0,24,0,42,0.001078150043829876,1
4111,7,10,4111,0,True,True,False,0.2138833436286744,0.0003641895902215327,0.000520270843173618,0.2138833436286744,0.0,0.7,15,4,9,0,0,0.002404825501666134,1
8350,642,430,7072,2,False,False,False,0.19691101898275282,0.015139745411608061,0.01014032792366272,0.16677302110730874,4.716431592401265e-05,1.4930232558139536,9,0,3,0,15,0.0018763307423449774,0
2455,216,214,2266,0,True,True,False,0.08295288388826354,0.0072985022076842865,0.007230923483539061,0.07656669445653978,0.0,1.0093457943925233,10,1,14,0,149,0.0026237674309403753,0
6181,93,192,6826,25,False,False,False,0.2323794430600499,0.0034964064398292573,0.007218387488679757,0.25662871352983346,0.0009398942042551767,0.484375,10,0,5,0,0,0.0031218578345757727,1
14922,365,270,10538,4,False,True,False,0.23979086568353863,0.005865411203222866,0.0043387973284114345,0.1693416527659248,6.427847893942867e-05,1.3518518518518519,14,1,20,0,106,0.0025150416592337795,1
346,38,98,265,0,False,False,False,0.12153352358234307,0.01334761241655791,0.034422789916386184,0.09308203395757489,0.0,0.3877551020408163,11,5,7,1,64,2.2470226035678964e-05,1
27901,716,0,2715,1,True,True,False,0.5561078817488829,0.014270930910440491,0.0,0.0541139349467122,1.993146775201186e-05,716.0,12,0,13,0,0,0.005329632611290931,1
10221,2404,1321,5789,168,True,True,False,0.10618009222999568,0.024973773771735604,0.013723109464418775,0.06013859249774435,0.0017452554050131372,1.8198334595003784,8,0,18,0,160,0.0012305505367308416,0
5110,418,831,3459,0,False,False,False,0.17560724658442903,0.014364741501426874,0.028557655951401275,0.11886995419482192,0.0,0.5030084235860409,15,1,9,0,0,0.0025711943610313335,1
116571,2476,1725,3421,52,False,False,False,1.5022149974633614,0.031907458404914456,0.02222954997919121,0.0440853857848192,0.000670108173285764,1.4353623188405797,8,2,5,0,152,0.0013979246209561188,0
14741,313,291,32033,0,False,False,False,0.46350687765000553,0.009841778217519281,0.009150023838013135,1.0072258199418376,0.0,1.0756013745704467,9,2,17,0,38,0.00047600840676430967,0
3893,179,261,3,13,True,True,False,0.06891938357367952,0.003168910778240081,0.0046205905760930786,5.3110236506817e-05,0.000230144358196207,0.685823754789272,13,0,14,0,0,0.0022071185585295808,0
9628,904,169,2855,1,False,True,False,0.13158804786241135,0.012355171922270447,0.0023097611226368425,0.039019929024427136,1.3667225577732796e-05,5.349112426035503,10,3,18,0,28,0.0018011740015254913,1
19248,16914,3750,6459,216,False,True,False,0.23305690528938997,0.20479657606321394,0.045405413281131145,0.07820628383542029,0.0026153518049931543,4.5104,11,0,12,0,134,0.002176597346718296,0
41167,2934,282,31118,31,False,True,False,0.7994964486299261,0.05698065392863709,0.0054766681690101085,0.6043367378838885,0.0006020450824089126,10.404255319148936,8,0,10,2,98,0.003799124174660145,0
838,16,19,28,0,True,True,False,0.44813819436315594,0.008556337839869326,0.010160651184844825,0.01497359121977132,0.0,0.8421052631578947,15,2,22,1,51,0.0011205183234104198,0
109609,4239,1306,39903,52,True,True,False,1.5984153654602054,0.06181684655626646,0.019045246898439255,0.5819008323035387,0.0007583099837050851,3.2457886676875956,9,0,9,0,155,0.003126927435122324,0
3470,56,118,2363,0,True,True,False,0.16469994036153457,0.002657981746468569,0.005600747251487342,0.11215733690902195,0.0,0.4745762711864407,11,0,8,0,0,0.006719590408785956,0
24105,464,367,19580,3,True,True,False,0.4578148042202297,0.008812531390092785,0.00697025650897425,0.37187363064227746,5.6977573642841284e-05,1.2643051771117166,6,3,7,3,0,0.00016237413718074172,0
1526,14,15,1403,0,True,True,False,0.14673415932285827,0.001346184947916131,0.001442341015624426,0.13490696299473798,0.0,0.9333333333333333,10,0,10,0,0,0.0020143689378901734,1
1660,157,264,1190,0,True,True,False,0.08304049954363159,0.007853830378524192,0.01320644089127635,0.05952903280537445,0.0,0.5946969696969697,13,2,5,0,0,0.0023346409717158274,1
12248,596,411,28155,0,True,True,False,0.26761935616134225,0.013022627063370346,0.008980368662827537,0.6151880284717988,0.0,1.4501216545012166,8,0,9,0,58,0.0038843233286665027,0
5821,132,191,5396,1,True,True,False,0.28602743764698496,0.006486105784126784,0.009385198520971333,0.26514414250869794,4.913716503126352e-05,0.6910994764397905,12,0,8,0,0,0.0004116281295583786,1
4645,158,59,2100,0,True,True,False,0.12327648733225723,0.004193258341979901,0.0015658369758026214,0.055733180494669576,0.0,2.6779661016949152,10,0,17,0,0,0.002351526460613334,1
7930,108,121,12834,0,False,False,False,0.1646134310628612,0.0022418979262029013,0.00251175600991251,0.26641220356377815,0.0,0.8925619834710744,13,0,14,0,13,0.0017113568665545152,0
6624,388,863,103,1,True,True,False,0.1749093535707821,0.010245294261090498,0.02278785811165232,0.0027197559507534056,2.640539758013015e-05,0.4495944380069525,11,4,9,0,0,0.001782897876807227,1
54873,12989,1991,32060,216,False,True,False,0.7726945250452077,0.18290469239538942,0.028036280126200658,0.45145310941536565,0.00304160547828194,6.523857358111502,14,0,15,0,149,0.002294193159016626,0
8321,260,142,54,23,True,True,False,0.19589201581127852,0.006120889810231032,0.0033429475117415634,0.0012712617298172144,0.0005414633293665912,1.8309859154929577,15,0,17,0,0,0.0015270578571234563,1
5350,493,968,4027,2,False,False,False,0.2166030731590038,0.019959871975212873,0.03919098594727395,0.16303935992734733,8.097311146130983e-05,0.5092975206611571,11,2,13,0,75,0.00010593096107820022,0
40035,175,1,15,4,True,True,False,2.0922155705834022,0.009145440860549404,5.2259662060282305e-05,0.0007838949309042346,0.00020903864824112922,175.0,9,0,6,0,111,0.00033944120694443474,1
40178,2860,4316,19597,38,False,True,False,0.6821877867705579,0.048560333271038765,0.07328195748174941,0.3327401577316597,0.0006452072252795361,0.6626506024096386,12,0,16,0,43,0.002228678608856348,0
4298,769,719,3932,2,True,True,False,0.21165065101780345,0.037868625089039286,0.03540642579846456,0.19362735221079644,9.848797162298904e-05,1.0695410292072323,6,0,8,1,31,0.0001755095357005044,0
60803,1238,1424,14922,11,False,True,False,0.7646583783716486,0.015569084953441458,0.017908220495719416,0.18765903527888,0.00013833597293041682,0.8693820224719101,12,0,23,0,157,0.003162590186854568,0
