statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,is_bot
21246,121500,346,35894,532,False,False,False,0.3679056864323811,2.103950903771736,0.005991498046954902,0.6215573147323679,0.009212361158901757,351.15606936416185,15,1,15,0,52,0.0013939930182963254,0
45791,3227215,1946,16134,9039,False,True,True,0.5223142188091127,36.81116991666595,0.02219701403774832,0.18403218113310965,0.1031031911033952,1658.3838643371018,4,0,19,0,111,0.0010731065690441609,0
875763,864968,767106,23,1371,True,True,False,18.20200002295495,17.977634994690685,15.94365533781272,0.0004780357248798635,0.028495086035230124,1.1275729820911322,11,2,11,1,0,0.0010228175497674534,1
88862,951,275,22147,9,False,False,False,1.495065051807552,0.016000167273626315,0.004626757098051774,0.3726137798201914,0.00015142114139078534,3.458181818181818,5,2,5,2,48,5.367350540022144e-05,0
142073,1412,623,5582,12,False,True,False,1.8740436460932102,0.018625281568514868,0.008217811910187509,0.07363053945853398,0.00015828851191372408,2.2664526484751204,11,0,11,0,16,0.002042368053814327,0
85419,1615,182,34629,27,False,False,False,1.0448808972630692,0.01975535476978022,0.002226300042167183,0.42359639648465597,0.00033027528098084584,8.873626373626374,8,0,13,0,29,0.00035127634400825144,0
4098,155,0,57,2,False,False,False,0.3844066718665064,0.014539539809494509,0.0,0.005346798510588303,0.0001876069652838001,155.0,5,3,1,0,0,0.00011251859440729661,0
22256,1231,1089,2017,68,False,False,False,0.28900284402408843,0.01598501532142581,0.014141089914730063,0.026191532009192414,0.0008830065327838791,1.1303948576675849,11,0,12,0,112,0.0026320392524329978,0
110251,378218,347,120,646,False,True,False,1.6309708638101383,5.595074313779856,0.005133258562209123,0.0017751902808792355,0.009556441012066551,1089.9654178674352,14,2,12,0,108,0.0008075965522112984,1
136670,1900367,9,53420,840,False,True,True,1.5594575817740672,21.683922779712,0.0001026934823733563,0.6095428698205215,0.009584725021513255,211151.88888888888,9,0,9,0,50,0.0038691365878011845,1
