screen_name,cap,overall
ackreilly,0.436508148,0.08
iahmyours_28,0.805247503,0.48
aminomejodan54,0.778449498,0.28
sumayasatellite,0.522239872,0.11
warzopopop,0.880831268,0.92
farias_maye,0.842103164,0.86
KlRBYREED,0.792436791,0.32
roundface_idol,0.786564267,0.3
starryywonu,0.808227838,0.73
seri_aaa9,0.80912737,0.74
PeanutPreorder,0.816933671,0.79
NaomiSm70107819,0.873394495,0.91
1115Phirakan,0.859576255,0.89
NAMlKAZEMINATO,0.494490727,0.1
843BRAT_,0.752712155,0.24
KamalavatiPara3,0.805409212,0.66
Rig1024,0.807491077,0.72
_nqnadd,0.805428834,0.52
kkrencita,0.494490727,0.1
jILpwLA6utOGrUo,0.806421607,0.7
pauliibertello,0.796624129,0.34
kullaya93706148,0.806895573,0.71
rendydhamara,0.805409212,0.66
StrayTalons,0.810212929,0.75
Drakmer1,0.678486427,0.18
Xern991,0.805308864,0.65
aguafresca666,0.806895573,0.71
JohnLi42196476,0.880831268,0.92
fx_investment_8,0.912150217,0.96
KuraDaiamondo,0.808227838,0.73
g_wawas,0.842103164,0.86
Stephan72763617,0.880831268,0.92
NIKKE_japan,0.798228728,0.35
LocalTrashGoth,0.767421432,0.26
blue_cherry1100,0.805409212,0.66
BelmaGezgin,0.832785604,0.84
earnyjungg,0.773345711,0.27
kazetooshiyoku,0.786564267,0.3
cruelnormani,0.260367838,0.02
phamnhat959691,0.859576255,0.89
queennation_3,0.811509405,0.76
Mohamed_Rayyan7,0.548888816,0.12
faithzp1,0.548888816,0.12
harveytitface,0.767421432,0.26
barter_barakan,0.803021245,0.4
ppttpp9889,0.660850031,0.17
nein_vina,0.888526364,0.93
rosies_are_gay,0.805768421,0.68
cr_jankauskas,0.92706858,0.98
MontJano,0.92706858,0.98
spillmez,0.708983079,0.2
mmhasssan,0.92706858,0.98
SpeFuturi,0.806051268,0.69
trejodulu,0.828806942,0.83
beombeomdass,0.806051268,0.69
lovecomesquick,0.837212932,0.85
naraenine,0.796624129,0.34
ichigo_hikakin,0.346921018,0.05
GothmoneyNoelle,0.620704985,0.15
AyenerKksal5,0.866290538,0.9
xnxss1,0.847463455,0.87
balajiashokraj,0.819347825,0.8
focussedonmy,0.832785604,0.84
hina_milk777,0.805244408,0.6
96noraBeat,0.721951097,0.21
Reginal74215171,0.82211303,0.81
mani_dabratt_,0.620704985,0.15
Akikir4,0.82211303,0.81
jeonspiderx,0.806421607,0.7
SeokRoss,0.436508148,0.08
zgl90681421,0.853292039,0.88
BilalSh25822186,0.346921018,0.05
dpehyun,0.808227838,0.73
iSXLALIKG,0.786564267,0.3
KingJiminJimin,0.811509405,0.76
kazhou358,0.641587017,0.16
AkifAltuna,0.866290538,0.9
God_is_15,0.813043153,0.77
nachito_bcs,0.574268603,0.13
bigbunlu,0.805221689,0.61
luliibarbato,0.346921018,0.05
Genshin_7,0.803021245,0.4
clairedelunana,0.803970412,0.42
zahler_richard,0.859576255,0.89
KajalJ13,0.805401614,0.55
AlpaycSureyya,0.880831268,0.92
GulbinAlageyik,0.847463455,0.87
Steampossum,0.406739786,0.07
marwanelsaman14,0.620704985,0.15
JIJONG22,0.805428834,0.52
4everErnest86,0.376789964,0.06
npxjay_,0.789743263,0.31
Himarsaka,0.733499832,0.22
Ufukpek20,0.859576255,0.89
Lil_Bunny_fufu,0.801617084,0.38
claudia71586555,0.778449498,0.28
TheeRedVelvet,0.465839247,0.09
sureshaajna,0.919787642,0.97
tgJuGORV31zYKWt,0.708983079,0.2
majo_ortiz07,0.317394501,0.04
witviola,0.806421607,0.7
miliyougashiten,0.574268603,0.13
hebertiandrade,0.494490727,0.1
hano_cnc,0.808227838,0.73
5xxMii,0.804318159,0.43
haechliwayway,0.721951097,0.21
NythaAngelaa,0.912150217,0.96
zaheer_2u,0.805244408,0.6
Faq_CruZ,0.620704985,0.15
Pia39037531,0.346921018,0.05
glitchoil_japan,0.708983079,0.2
DrFosterCat,0.802386356,0.39
leCocon0088,0.800688198,0.37
GRACEJOYCOMAWAS,0.904303822,0.95
Caiofodasekk,0.694516142,0.19
SecretlivesTsu,0.346921018,0.05
ctrlhyuka,0.376789964,0.06
torilareine,0.233324324,0.01
sanyobussan,0.806421607,0.7
feliperaytyson,0.548888816,0.12
sissy_aubrey,0.832785604,0.84
CordovaPaopla,0.792436791,0.32
PapoVlog,0.859576255,0.89
Mehmetb55601273,0.828806942,0.83
PippaBaker14,0.880831268,0.92
murapiparum,0.802386356,0.39
GinevraKudou,0.802386356,0.39
CrisHuchack,0.80514185,0.47
Lseeseo,0.805274649,0.59
Ayasheashaa3,0.522239872,0.11
AmaBoukman1804,0.436508148,0.08
dadhichhyderab,0.888526364,0.93
8CrZXcW2g7MZUiL,0.837212932,0.85
2525komachi,0.494490727,0.1
fabicastroal,0.678486427,0.18
UpperCaseBeeeee,0.260367838,0.02
shartrtbot,0.806421607,0.7
elementalsmedia,0.805247503,0.48
loreleiiexe,0.816933671,0.79
maiaherrrera,0.778449498,0.28
Jones17Ellicarg,0.832785604,0.84
notdaniuxxx,0.804599297,0.44
B3YAKUGAN,0.376789964,0.06
BittchLawyer,0.811509405,0.76
dr_nkenbear,0.752712155,0.24
YnELydIoOvlK3II,0.80354321,0.41
FatihMe38504120,0.842103164,0.86
Celestinann17,0.810212929,0.75
shiratorikuro,0.678486427,0.18
ai_ncjyt,0.760577756,0.25
Kanta_nine,0.805558658,0.67
foccaccia_n,0.767421432,0.26
DamasPerfectas,0.813043153,0.77
soonmoroll,0.733499832,0.22
catlinoos,0.801617084,0.38
TheOnlyLongy,0.260367838,0.02
a_evy___,0.804599297,0.44
LineaLucky,0.805217634,0.63
EricGelsomino13,0.522239872,0.11
GodGivnName,0.346921018,0.05
CHICHIDH,0.346921018,0.05
JohnLi42196476,0.880831268,0.92
NANABO_O,0.743720537,0.23
shiba4814,0.805412356,0.51
FeebFX,0.828806942,0.83
ricardomonterog,0.798228728,0.35
himadayo0820,0.792436791,0.32
its_indiaaaaa,0.288463897,0.03
mashi_contact,0.816933671,0.79
BurgerEater17,0.792436791,0.32
cell111right,0.80354321,0.41
SkytriDesigner,0.912150217,0.96
ADhepri,0.805428834,0.52
ixxif20,0.912150217,0.96
vinivinidogo,0.620704985,0.15
roomasiminn,0.803970412,0.42
NdayaaK,0.522239872,0.11
NWongmahawan,0.805247828,0.64
nandomtts,0.767421432,0.26
YQnYSOTXfNh1kXy,0.796624129,0.34
OwnHimJarred,0.805401614,0.55
xxkagehinaxx,0.678486427,0.18
sorceriez,0.805409212,0.66
picaflorbello,0.789743263,0.31
Itsporn5,0.880831268,0.92
po_razzi,0.806051268,0.69
l07l07,0.733499832,0.22
Nilz_1990,0.805247503,0.48
oh__komattana,0.782826526,0.29
Nativeguy1211,0.805768421,0.68
popsjbp223,0.805412356,0.51
MarcoHi41547236,0.880831268,0.92
phrnphthxngthb1,0.82525729,0.82
KIM_SAM_SEUNG2,0.810212929,0.75
_Sergio4,0.760577756,0.25
kissedthearth,0.660850031,0.17
