statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,is_bot
3862,275,867,96,5,True,True,False,0.058556130948881235,0.0041695846739881765,0.01314556331762818,0.0014555641043740544,7.581063043614867e-05,0.31718569780853517,14,0,22,0,156,0.0013346686552497909,1
4752,20,1396,1892,15,True,True,False,0.05187425020949287,0.000218325968895172,0.015239152628883005,0.020653636657483272,0.000163744476671379,0.014326647564469915,10,2,11,0,118,0.0010328557327701068,1
7420,1027,2218,9464,8,True,True,False,0.07303259905970365,0.010108420381983242,0.021831038371215996,0.09315101314030126,7.874134669509827e-05,0.4630297565374211,8,0,8,0,150,0.0015456112494334799,1
6595,160,132,54,3,False,True,False,0.0591815153060319,0.001435791121905247,0.0011845276755718286,0.00048457950364302085,2.692108353572338e-05,1.2121212121212122,10,0,15,0,30,0.0016676148457336793,1
78742,1194,1336,6,17,True,True,False,0.7504692954770905,0.01137970001777509,0.01273306467650546,5.718442219987482e-05,0.000162022529566312,0.8937125748502994,12,0,13,0,143,0.0014973933892978557,1
7741,8661,857,2180,99,False,True,False,0.06511648041184713,0.07285542395646662,0.0072089941497161854,0.01833793144268528,0.0008327776205623132,10.106184364060677,13,0,14,0,158,0.000296753034191128,1
1173,13,0,399,2,False,True,False,0.011959731864896074,0.00013254604794854985,0.0,0.00406814408703626,2.0391699684392285e-05,13.0,10,6,16,0,144,0.0007232220880569211,1
15690,910,1733,13561,60,True,True,False,0.14433676370369405,0.00837134830913713,0.015942358922785328,0.12475148837385563,0.000551957031371679,0.5251009809578765,10,0,11,0,3,0.002848536915577495,1
505,573,1870,2,7,True,True,False,0.006477969404165675,0.007350250432845409,0.023987728288692695,2.5655324372933364e-05,8.979363530526678e-05,0.3064171122994652,13,0,14,0,71,0.002113114549465101,1
1257,21,0,1254,1,True,True,False,0.019470678763558028,0.000325285802732473,0.0,0.019424209363167674,1.548980013011776e-05,21.0,12,0,20,0,3,0.0012287764664115559,1
4986,800,550,1617,36,False,True,False,0.03981189981890882,0.006387789782416177,0.004391605475411122,0.012911320097708697,0.000287450540208728,1.4545454545454546,8,0,9,0,86,0.002137300782847536,1
106547,13023,47,702,151,False,True,False,1.19620556205342,0.1462095134975334,0.0005276700556234407,0.007881369766971392,0.0016952803914710543,277.0851063829787,12,0,18,0,95,0.0009890676910855535,1
7111,3344,1025,3300,87,False,True,False,0.06044952251876241,0.028426832133700113,0.0087133681031826,0.028052794868783003,0.0007395736829042792,3.2624390243902437,10,0,14,0,123,0.0009134831739679868,1
1285,315,887,2,6,False,True,False,0.011331227735169338,0.0027776939584267246,0.007821633463887317,1.763615211699508e-05,5.2908456350985235e-05,0.3551296505073281,15,0,18,0,160,0.0017855707043905882,1
3230,1107,452,400,48,False,True,False,0.035487690471358566,0.012162499489719482,0.004966079285775254,0.004394760429889605,0.0005273712515867526,2.4491150442477876,9,0,10,0,148,0.0003876867338080667,1
275,668,3,0,4,True,True,False,0.0037561446400242817,0.009124016798313529,4.097612334571944e-05,0.0,5.4634831127625916e-05,222.66666666666666,15,0,17,0,150,0.0011691523562556943,1
6138,1286,77,403,0,True,True,False,0.09162751697639344,0.019197293390622674,0.001149449137696692,0.006015948084308661,0.0,16.7012987012987,12,0,13,0,66,0.00011585360652577415,1
15455,1067,2202,2267,20,False,True,False,0.16334787671012643,0.011277397893866382,0.023273505306742052,0.023960507052853876,0.0002113851526497916,0.48455949137148047,11,0,19,0,107,0.00046499538613137807,1
3232,457,788,18,69,True,True,False,0.05141612760755326,0.007270164083122474,0.01253586279540593,0.0002863521958341456,0.001097683417364225,0.5799492385786802,9,0,9,0,89,0.000656090923472245,1
6199,104,141,121,4,False,True,False,0.05797708452902216,0.0009726757204417333,0.001318723813291196,0.0011316707901293244,3.7410604632374356e-05,0.7375886524822695,12,0,13,0,9,0.0035612545348403407,1
4050,117,133,78,0,True,True,False,0.04754225564975389,0.0013734429409928903,0.0015612641978808067,0.0009156286273285934,0.0,0.8796992481203008,11,7,10,0,21,0.0005077572783916154,1
5973,75,453,308,0,True,True,False,0.09724851176802736,0.0012211013531896956,0.007375452173265761,0.005014656223765683,0.0,0.16556291390728478,11,6,9,0,3,0.0008657465093123844,1
51802,646,1152,2906,24,False,True,False,0.4526768301394734,0.005645134015483955,0.01006686437436148,0.025394364472130608,0.0002097263411325308,0.5607638888888888,7,2,6,0,3,5.61510485117878e-05,1
398,575,589,0,1,True,True,False,0.0061367929700723665,0.008865969743195002,0.009081836832594533,0.0,1.541907781425218e-05,0.9762308998302207,15,0,20,0,29,0.0037037796587131525,1
205,27,85,189,4,False,True,False,0.0016672220835556315,0.00021958534759025392,0.0006912872053767252,0.0015370974331317775,3.253116260596354e-05,0.3176470588235294,10,3,8,0,3,0.0015435339819673084,1
22816,12214,13509,262,36,False,True,False,0.2545743676722886,0.1362803000854371,0.15072953773163333,0.0029233206666435664,0.00040167764885178775,0.9041379820860167,10,0,13,0,153,0.000643176577165419,1
5108,25,235,388,0,True,True,False,0.05528932880084392,0.0002706016483988054,0.002543655494948771,0.0041997375831494595,0.0,0.10638297872340426,11,2,5,0,3,0.0015248559422662592,1
1639,56,84,152,3,False,True,False,0.021574962065652188,0.0007371555068191107,0.0011057332602286661,0.002000850661366158,3.949047357959522e-05,0.6666666666666666,13,0,14,0,85,0.0015396137743866113,1
463,0,0,0,0,True,True,False,0.007364235461470286,0.0,0.0,0.0,0.0,0.0,8,2,3,0,3,0.0003208398241982632,1
7945,193,1358,3778,0,False,True,False,0.11354190417164911,0.0027581607935970144,0.019407162475154123,0.05399135480937575,0.0,0.14212076583210603,10,1,14,0,111,0.0030289651839124675,1
4003,1200,568,687,137,False,True,False,0.04188651689013453,0.012556537663792514,0.005943427827528456,0.007188617812521214,0.0014335380499496452,2.112676056338028,8,0,9,0,100,0.00037769247151727363,1
6590,92,189,17509,7,False,True,False,0.07988840111638888,0.0011152857211999662,0.002291184796812974,0.21225584448358922,8.48586961782583e-05,0.48677248677248675,11,0,14,0,3,0.0010318466796096096,1
39285,18522,11329,370,531,False,True,False,0.3294070879248836,0.1553080840663025,0.09499434641977869,0.00310247225486081,0.004452466938732676,1.6349192338246976,14,0,12,0,157,0.002971621467675948,1
22306,63888,4903,458,1914,False,True,True,0.18959224434050154,0.5430229223718266,0.04167357545061773,0.0038928202236147096,0.016268248707420423,13.030389557413828,8,0,9,0,160,0.0005058342216754344,1
17579,1116,344,2685,2,True,True,False,0.21495298685484043,0.013646255949143973,0.00420637280152825,0.0328317179421609,2.445565582283866e-05,3.244186046511628,12,0,27,0,19,0.0011474991204070285,1
738,558,150,219,24,False,True,False,0.010519414169200303,0.00795370339622462,0.0021380923108130696,0.0031216147737870817,0.00034209476973009117,3.72,14,1,16,0,56,0.001022188574008816,1
66238,4104,137,49241,45,True,True,False,0.670656755727166,0.041552814479668604,0.0013871188069480016,0.49856289907245654,0.00045562296578583996,29.956204379562045,13,0,14,0,153,0.0033503989082390518,1
6254,132,191,840,2,True,True,False,0.08938500217138096,0.00188660381941514,0.0027298585568809983,0.012005660669005437,2.858490635477485e-05,0.6910994764397905,11,4,16,4,3,0.000306010223703249,1
565,421,15,3693,5,True,True,False,0.009168953424236488,0.006832087418767366,0.00024342354223636696,0.059930876098593544,8.114118074545566e-05,28.066666666666666,11,1,11,0,3,0.0007615672259822805,1
4017,295,205,2208,0,True,True,False,0.04053563582651572,0.002976851523231799,0.0020686595330932844,0.02228097682473157,0.0,1.4390243902439024,11,2,13,0,98,0.001390014383159093,1
