statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,is_bot
8,3,359,10,0,True,True,False,0.0001071590322566026,4.0184637096225975e-05,0.004808761572515041,0.00013394879032075326,0.0,0.008356545961002786,9,3,3,0,0,0.00035841633268024974,1
801,76,957,205,3,True,True,False,0.010869480774334483,0.0010313115341440957,0.012986383397051311,0.0027818271644676268,4.070966582147747e-05,0.0794148380355277,7,0,7,0,0,0.002104899538921372,1
240,160,2673,113,1,False,True,False,0.004608697941216218,0.003072465294144145,0.05132937332029563,0.0021699286139893028,1.920290808840091e-05,0.05985783763561541,15,0,12,0,121,0.0017412364258989432,1
65,45,1073,57,0,True,True,False,0.0012655116370798609,0.0008761234410552883,0.02089067671671832,0.0011097563586700318,0.0,0.04193849021435228,14,8,13,0,6,0.00047142346697714977,1
114,2,734,77,0,True,True,False,0.003665712167262373,6.431073977653286e-05,0.023602041497987558,0.002475963481396515,0.0,0.0027247956403269754,11,0,12,0,36,0.0008170374254293139,1
96,30,1174,249,0,True,True,False,0.0017631195609024196,0.0005509748627820062,0.02156148296353584,0.004573091361090651,0.0,0.02555366269165247,11,0,12,0,60,0.0029811434459902256,1
199,14,1363,168,0,True,True,False,0.0038407178604049166,0.00027020125651089865,0.02630602233031106,0.003242415078130784,0.0,0.010271460014673514,10,2,12,0,17,0.0015160960380949779,1
39050,1933,1764,277,11,False,True,False,0.881676294298354,0.043643541021221983,0.03982783567585907,0.006254144264293062,0.0002483595195206631,1.0958049886621315,9,2,3,0,0,0.00046469368239435025,1
101,10,1127,87,0,False,True,False,0.0013728559532590122,0.0001359263320058428,0.015318897617058484,0.0011825590884508323,0.0,0.008873114463176575,6,2,7,0,61,0.0004239275282416097,1
36,53,452,50,0,True,True,False,0.0004863494451159999,0.0007160144608652221,0.0061063874775675545,0.0006754853404388888,0.0,0.1172566371681416,14,0,5,0,0,0.002838057507691008,1
195,106,3376,415,0,False,True,False,0.0027167411020188603,0.0014767925990461497,0.04703445107905473,0.00578178234532219,0.0,0.03139810426540284,8,0,9,0,27,0.0014084456541242358,1
112,15,1282,194,0,True,True,False,0.0015716788522646787,0.0002104927034283052,0.017990109719672482,0.002722372297672747,0.0,0.01170046801872075,9,0,13,0,76,0.0014322430212893736,1
166,56,696,91,3,True,True,False,0.002493321290958654,0.0008411204355041242,0.010453925412694114,0.0013668207076942018,4.506002333057808e-05,0.08045977011494253,9,0,14,0,0,0.0011111570229209175,1
169,39,990,60,0,False,True,False,0.002393870925525153,0.0005524317520442661,0.014023267551892909,0.0008498950031450247,0.0,0.03939393939393939,10,0,18,0,0,0.0033734049123644713,1
51,9,715,58,1,True,True,False,0.0007405241913422388,0.00013068073964863036,0.010381858760974524,0.0008421647666245069,1.4520082183181154e-05,0.012587412587412588,10,1,10,0,0,0.001293634685331423,1
14753,78,490,1130,0,False,True,False,0.22838313808918884,0.001207475413201161,0.007585422467545755,0.017492913037401435,0.0,0.15918367346938775,10,0,4,0,27,0.002461275359659754,1
26753,1440,2918,231,2,False,True,False,0.4037859657171583,0.021734078070971777,0.04404169431326087,0.003486508357218389,3.0186219543016357e-05,0.49348869088416725,15,0,17,0,0,0.001151213303242971,1
10183,347,345,1148,7,False,True,False,0.15516281158123021,0.005287390319030432,0.005256915446874637,0.017492576617426328,0.00010666205254528249,1.0057971014492753,9,1,9,0,28,0.0010764591727926889,1
732,130,895,96,1,True,True,False,0.011000200998284103,0.0019535876089848817,0.013449699308011301,0.001442649311250374,1.5027596992191398e-05,0.1452513966480447,11,0,19,0,89,0.0025885960538375844,1
88,69,1008,899,0,True,True,False,0.001356945289310887,0.0010639684654824,0.015543191495742887,0.013862429716937357,0.0,0.06845238095238096,6,0,13,0,0,0.0013874001681412013,1
48,17,724,54,1,True,True,False,0.0007635706353410988,0.0002704312666833058,0.011517190416394908,0.0008590169647587362,1.5907721569606226e-05,0.023480662983425413,8,2,15,0,0,0.0006850408059004336,1
231,62,819,633,0,True,True,False,0.0036750767914719975,0.0009863842470617483,0.0130298177152189,0.010070664974033656,0.0,0.0757020757020757,11,4,14,0,42,0.0009949229759254811,1
9,0,39,4,0,True,True,False,0.00014433298582048693,0.0,0.0006254429385554432,6.414799369799419e-05,0.0,0.0,9,0,9,0,0,0.0006001877173382561,1
801,89,652,82,0,True,True,False,0.012711353976123734,0.0014123726640137483,0.010346819965583865,0.0013012871735857006,0.0,0.13650306748466257,13,0,11,0,56,0.0017120369418499538,1
1930,88,884,66,0,False,False,False,0.031224575682486513,0.0014237112228284005,0.014301826374776205,0.0010677834171213005,0.0,0.09954751131221719,13,0,18,0,110,0.0028426796843368644,1
66,1,232,68,0,True,True,False,0.0010623312249769523,1.6095927651165943e-05,0.0037342552150704993,0.0010945230802792843,0.0,0.004310344827586207,11,0,15,0,0,0.00538594339776213,1
68,4,357,72,0,True,True,False,0.0011011410168956324,6.477300099386074e-05,0.0057809903387020705,0.0011659140178894932,0.0,0.011204481792717087,6,0,10,0,0,0.0020052104411192556,1
12,1,120,1,0,False,True,False,0.0001952463056551628,1.6270525471263566e-05,0.001952463056551628,1.6270525471263566e-05,0.0,0.008333333333333333,10,0,13,0,46,0.0009429637937209476,1
154,9,837,142,0,False,True,False,0.002499498747707846,0.0001460746021387702,0.01358493799890563,0.0023047326115228192,0.0,0.010752688172043012,11,1,14,0,41,0.00027530815603024345,1
