statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,is_bot
117922,188419,857,628,432,False,False,True,1.3263792379028334,2.119325059161259,0.00963948208886152,0.007063704494521627,0.004859108824256916,219.8588098016336,9,2,9,2,152,0.0008120283916433403,0
176250,180759,905,11608,1119,False,True,True,1.6803521573205806,1.7233405708091394,0.008628191219149648,0.11066966151589958,0.010668448590307687,199.73370165745857,4,0,15,2,89,0.0006497472206432745,0
34918,19311,1472,0,675,False,True,True,0.3857042157076066,0.21330929920183261,0.016259711481802993,0.0,0.007456049762375694,13.118885869565217,14,0,15,0,147,0.002110454716416276,0
669,398,185,12798,5,False,False,True,0.009956600030441133,0.005923358463550929,0.0027533198888364868,0.1904702050666452,7.441405104963478e-05,2.151351351351351,11,0,12,0,80,0.0010300453511482362,0
16341,7125,4431,2135,160,False,True,True,0.18752457714558798,0.08176443376551706,0.05084887101964998,0.024500640854649675,0.0018361136003484534,1.6079891672308735,10,0,16,0,128,0.0009146262135554226,0
2546,213,775,3586,2,True,True,True,0.2483433413348032,0.020776563905857456,0.07559547900018558,0.3497875970253748,0.0001950851070972531,0.27483870967741936,15,0,10,0,139,0.0003015596996609814,0
13366,23169,6581,48014,1213,False,True,True,0.148359049495954,0.2571697454565134,0.07304735184295026,0.5329426457054268,0.01346397778232771,3.520589576052272,7,0,45,0,160,0.0012869652836699993,0
54373,102008,2870,231,2050,True,True,True,0.6247673653390963,1.1721124345449125,0.03297743987867519,0.0026542817463323935,0.02355531419905371,35.542857142857144,8,0,12,0,50,0.002233426521888545,0
133,11957,3813,22361,528,True,True,True,0.0014312145379831425,0.12866941526815365,0.04103173709270468,0.24062697957775225,0.005681814105677438,3.135851035929714,12,0,13,0,153,0.0028371255607499437,0
1319,318,623,291,5,False,False,True,0.06718655358845019,0.01619812285149898,0.031734058290829766,0.01482281053391888,0.0002546874662185375,0.5104333868378812,11,0,12,0,71,0.0010515196316890298,0
8229,21822,917,3828,273,False,False,True,0.09692596344616736,0.2570322486720457,0.010800961049961777,0.04508841755643804,0.0032155532896832773,23.797164667393677,12,0,13,0,160,0.0041098316229853825,0
4194,11121,8660,4956,189,True,True,True,0.04726552292495099,0.1253313973410539,0.09759643026468183,0.055853107204591586,0.0021299913764462894,1.2841801385681293,9,0,10,0,109,0.002418862708137353,0
4031,6076,255,633,122,False,True,True,0.06857823722031511,0.10336923079896666,0.00433824125308369,0.010769045934125395,0.0020755507171616085,23.827450980392157,12,0,14,0,158,0.002002063649157234,0
42980,3291,1202,28728,112,False,True,True,0.3961009796687133,0.030329649234288866,0.01107755648119575,0.2647554430880129,0.0010321849633060933,2.737936772046589,10,0,5,0,125,0.005212466744799965,0
11201,5825,591,6063,67,True,True,True,0.12091512052164172,0.06288104428520337,0.006379862175545956,0.0654502612019207,0.0007232669471431117,9.856175972927241,12,0,12,0,77,0.002542253076739661,0
17450,7073,3072,14804,206,False,False,True,0.20116301812926463,0.08153730815061827,0.03541391356407455,0.17066001836020822,0.00237476113092427,2.3024088541666665,15,0,16,0,152,0.0025796900310583416,0
