id,created_at,sampled_at,name,screen_name,description,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,banner_url,verified
31421148,2009-04-15 14:36:06+00:00,2022-09-25 02:32:00+00:00,KFR,ackreilly,,1105,94,868,8884,0,FALSE,https://pbs.twimg.com/profile_banners/31421148/1478225496,FALSE
1.55E+18,2022-07-23 12:57:15+00:00,2022-09-25 02:32:00+00:00,Ḿ𝚑𝕒𝖎_ṗᴀh͛ίη❡ᾰ ♡ - Ⓚ︎Ⓟ︎ | ɪᴀ 🤍,iahmyours_28,"1st acc : @iahmwhoiahm_ 
2nd acc : @maybeitsyou_028
3rd acc : @maybeitsyou_143
5th acc: @iahmyourlove_28",8291,141,292,535,0,TRUE,https://pbs.twimg.com/profile_banners/1550827257211396098/1658736962,FALSE
584769739,2012-05-19 13:42:42+00:00,2022-09-25 02:32:00+00:00,PersonOfColorConservative,aminomejodan54,,3080,13,19,283,0,TRUE,N/A,FALSE
8.86E+17,2017-07-13 21:30:07+00:00,2022-09-25 02:32:00+00:00,sumaya is in TEARS!,sumayasatellite,"#1 hbw, red, & sgfg stan // gilmore girls enthusiast",23723,459,407,36557,3,TRUE,https://pbs.twimg.com/profile_banners/885612328615530496/1664049463,FALSE
1.56E+18,2022-08-11 12:48:37+00:00,2022-09-25 02:32:00+00:00,warzopopop,warzopopop,,611,78,2394,1048,0,TRUE,N/A,FALSE
1.56E+18,2022-08-26 14:10:05+00:00,2022-09-25 02:32:00+00:00,Maye Farias,farias_maye,,25027,121,7,49,0,TRUE,N/A,FALSE
1.48E+18,2021-12-29 23:57:26+00:00,2022-09-25 02:32:00+00:00,j,KlRBYREED,mediocre content - variety,16024,534,350,10609,1,TRUE,https://pbs.twimg.com/profile_banners/1476341581737168896/1641093788,FALSE
7.03E+17,2016-02-26 13:24:20+00:00,2022-09-25 02:32:00+00:00,ゆーたすDIVE,roundface_idol,あなたの人生に優しさをプラス #太もも鑑賞部 🔍,35088,179,196,78001,3,TRUE,https://pbs.twimg.com/profile_banners/703208980017864704/1631517476,FALSE
1.05E+18,2018-10-06 11:05:23+00:00,2022-09-25 02:32:00+00:00,zee 𖧷,starryywonu,svt. (n.) ⌕ my 13 𝘀𝗵𝗶𝗻𝗶𝗻𝗴 𝗱𝗶𝗮𝗺𝗼𝗻𝗱𝘀! @pledis_17 ꒱ゞ₊˚ | aktif tapi jarang ngetweet,13427,762,945,12848,2,TRUE,https://pbs.twimg.com/profile_banners/1048529647586095104/1652396197,FALSE
1.17E+18,2019-09-06 06:52:06+00:00,2022-09-25 02:32:00+00:00,せりあ。,seri_aaa9,よく髪色変わります🌈 スキット✌︎('ω')✌︎ DM仲良い人のみ🙏 @NGS21869645💕,6944,1278,929,62316,7,TRUE,https://pbs.twimg.com/profile_banners/1169865803736313856/1654621039,FALSE
